[object DocumentFragment],"<span class=""column-name"">ProjectID</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Project</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">State</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Contractor</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Status</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">COD</span><span class=""column-data-type"">date</span>","<span class=""column-name"">OnM_Exp_Date</span><span class=""column-data-type"">date</span>","<span class=""column-name"">FC_Date</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">SizeKwDC</span><span class=""column-data-type"">float</span>","<span class=""column-name"">SizeKwAC</span><span class=""column-data-type"">float</span>","<span class=""column-name"">PanelCt</span><span class=""column-data-type"">float</span>","<span class=""column-name"">PanelMke</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">PanelSizeW</span><span class=""column-data-type"">int</span>","<span class=""column-name"">FixedvTOU</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">InverterCt</span><span class=""column-data-type"">int</span>","<span class=""column-name"">InvertMfgr</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">InverterSizekWAC</span><span class=""column-data-type"">int</span>","<span class=""column-name"">StringCt</span><span class=""column-data-type"">int</span>","<span class=""column-name"">ModsPString</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Xfmr_Ct</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Xfmr_Mfgr</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">XfmrSizekV</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">CombinerBoxCt</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Racking</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">RackType</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Rows</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Utility</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Rev_Rate_MWH</span><span class=""column-data-type"">float</span>","<span class=""column-name"">PPA_MWh</span><span class=""column-data-type"">float</span>","<span class=""column-name"">REC</span><span class=""column-data-type"">float</span>","<span class=""column-name"">AE_Name</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">SPR</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Image</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">PVSyst_Size</span><span class=""column-data-type"">float</span>","<span class=""column-name"">Group_Name</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Organization</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Proximity</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Street_Address</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">City</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">State2</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Zip2</span><span class=""column-data-type"">int</span>","<span class=""column-name"">Address</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Address1</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Zip</span><span class=""column-data-type"">int</span>","<span class=""column-name"">GPS</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">County</span><span class=""column-data-type"">nvarchar</span>","<span class=""column-name"">Latitude</span><span class=""column-data-type"">float</span>","<span class=""column-name"">Longitude</span><span class=""column-data-type"">float</span>"
,1,Whitetail,SC,NRCO,Operating,2022-05-01,2025-12-15,8/9/2022,14189.990234375,9996,35316,GCL,400,TOU,80,Sungrow,125,1308,27,4,ABB,2500,60,Gamechange,SAT,443,Duke,42.72999954223633,37.97999954223633,4.75,Whitetail,1772,https://solrivercapital.com/wp-content/uploads/2024/03/DJI_0841-scaled.webp,14189.990234375,Whitetail,SolRock,1,"921 S Longstreet Rd. ","Dillon ","South Carolina ",29536,"921 S Longstreet Rd.  Dillon , South Carolina  29536","921 S Longstreet Rd.  Dillon , South Carolina  29536",29536,"34.398649, -79.395450","Dillon ",34.398651123046875,-79.39544677734375
,2,Sunflower,SC,NRCO,Operating,2024-03-15,2028-01-26,9/4/2024,14372,9996,26865,Adani-bi,535,TOU,80,Sungrow,125,995,27,4,Sunbelt,2500,80,FlexRack,SAT,354,Duke,42.16999816894531,37.41999816894531,4.75,Sunflower Solar,1736,https://solrivercapital.com/wp-content/uploads/2024/03/DJI_20240111112105_0042_V-scaled.webp,14372.7802734375,Sunflower,SolRock,2,391 Brockington Road,Kingstree,"South Carolina ",29556,"391 Brockington Road
Kingstree, SC 29556","391 Brockington Road
Kingstree, SC 29556",29556,"33.434993, -79.491440",Williamsburg,33.43498992919922,-79.49143981933594
,3,Shorthorn,SC,NRCO,Operating,2023-10-18,2027-06-02,4/15/2024,12903.2998046875,8900,23895,Adani-bi,540,TOU,72,Sungrow,125,885,27,3,Sunbelt,3200,72,FlexRack,SAT,270,Duke,42.209999084472656,37.459999084472656,4.75,Shorthorn,1745,https://solrivercapital.com/wp-content/uploads/2024/01/DJI_0156-scaled.webp,12903.2998046875,Shorthorn,SolRock,3,"126 McGregor Rd. ",McColl,"South Carolina ",29570,"126 McGregor Rd.  McColl, South Carolina  29570","126 McGregor Rd.  McColl, South Carolina  29570",29570,"34.685226, -79.540499",Marlboro,34.68523025512695,-79.54049682617188
,4,Whitehall,SC,NRCO,Operating,2024-02-24,2028-01-26,4/3/2024,2901.419921875,2000,5373,Adani-bi,540,TOU,16,Sungrow,125,199,27,1,Sunbelt,1500,16,FlexRack,SAT,74,Duke,62.560001373291016,57.810001373291016,4.75,Whitehall Solar,1733,https://solrivercapital.com/wp-content/uploads/2024/03/DJI_20230925161656_0012_V-scaled.webp,2901.419921875,Whitehall,SolRock,1,3627 Sardis HWY,Timmonsville,"South Carolina ",29161,"3627 Sardis HWY, Timmonsville, SC 29161","3627 Sardis HWY, Timmonsville, SC 29161",29161,"34.22021, -79.540499",Florence,34.220211029052734,-79.54049682617188
,5,Warbler,NC,"NRCO ",Operating,2021-12-13,2024-12-13,8/17/2022,5762.8798828125,4000,16704,Adani-bi,345,Fixed,32,Sungrow,125,576,29,2,ABB,2000,28,Gamechange,Fixed,66,Duke,67.80000305175781,63.04999923706055,4.75,Warbler,1439,https://solrivercapital.com/wp-content/uploads/2022/08/DJI_0548-scaled.webp,5762.8798828125,Warbler,SolRock,4,"627 Plato Lee Rd. ","Shelby ","North Carolina ",28150,"627 Plato Lee Rd.  Shelby , North Carolina  28150","627 Plato Lee Rd.  Shelby , North Carolina  28150",28150,"35.319052, -81.623602",Cleveland,35.31904983520508,-81.62359619140625
,6,Mclean,NC,NRCO,Operating,2023-09-18,2027-06-02,3/29/2024,6052.4599609375,4998,11313,Adani-bi,535,TOU,40,Sungrow,125,1080,27,2,Sunbelt,2500,40,FlexRack,SAT,150,Duke,67.79000091552734,63.040000915527344,4.75,McLean,1821,https://solrivercapital.com/wp-content/uploads/2024/01/mclean3-scaled.webp,6052.4599609375,Mclean,SolRock,3,"15901 Fieldcrest Rd. ",Laurinburg,"North Carolina ",28352,"15901 Fieldcrest Rd.  Laurinburg, North Carolina  28352","15901 Fieldcrest Rd.  Laurinburg, North Carolina  28352",28352,"34.787098, -79.498269",Scotland,34.78710174560547,-79.4982681274414
,7,Elk,NC,NRCO,Operating,2024-07-01,2027-09-16,9/4/2024,6660,5000,12447,Adani-bi,535,TOU,43,Sungrow,125,461,27,3,Maddox,1750,43,FlexRack,SAT,175,Duke,68.01000213623047,63.2599983215332,4.75,Elk Solar,1745,https://solrivercapital.com/wp-content/uploads/2024/01/elk3-1-scaled.webp,6706.7998046875,Elk,SolRock,3,"547 McLaughlin Rd. ","Raeford ","North Carolina ",28376,"547 McLaughlin Rd.  Raeford , North Carolina  28376","547 McLaughlin Rd.  Raeford , North Carolina  28376",28376,"34.978467, -79.281200",Hoke,34.97846984863281,-79.28119659423828
,8,Gray Fox,NC,NRCO,Operating,2024-03-27,2027-09-16,9/4/2024,6660,4992,12447,Adani-bi,535,TOU,40,Sungrow,125,461,27,2,Sunbelt,2500,20,FlexRack,SAT,154,Duke,68.13999938964844,63.38999938964844,4.75,Gray Fox Solar,1770,https://solrivercapital.com/wp-content/uploads/2024/02/Screenshot-2024-02-28-142541.webp,6659.14990234375,Gray Fox,SolRock,3,"11266 Shannon Rd. ","Shannon ","North Carolina ",28386,"11266 Shannon Rd.  Shannon , North Carolina  28386","11266 Shannon Rd.  Shannon , North Carolina  28386",28386,"34.859382, -79.136954",Robeson,34.859378814697266,-79.13694763183594
,9,Harding,NC,NRCO,Operating,2024-03-06,2028-01-26,5/13/2024,4374,3000,8100,Adani-bi,540,TOU,24,Sungrow,125,300,27,2,Sunbelt,1500,24,FlexRack,SAT,105,Duke,68.83999633789062,64.08999633789062,4.75,Harding Solar,1656,https://solrivercapital.com/wp-content/uploads/2024/02/harding-2-1.webp,4333.5,Harding,SolRock,3,"263 Franklin Jones Road,",Hookerton,"North Carolina ",28538,"263 Franklin Jones Road, Hookerton, NC 28538","263 Franklin Jones Road, Hookerton, NC 28538",28538,"34.685226, -79.540499",Marlboro,35.4200387,-77.6295485
,10,Washington,NC,NRCO,Operating,2023-12-01,2028-01-26,9/4/2024,7275.419921875,5000,13473,Adani-bi,540,TOU,40,Sungrow,125,499,27,2,Sunbelt,2500,40,FlexRack,SAT,170,Duke,68.13999938964844,63.38999938964844,4.75,Washington Solar,1668,https://solrivercapital.com/wp-content/uploads/2024/11/Washington-scaled.jpg,7275.419921875,Washington,SolRock,4,11182 US Highway 158,Reidsville,"North Carolina ",27320,"11182 US Highway 158, Reidsville, NC 27320","11182 US Highway 158, Reidsville, NC 27320",27320,"36.22021, -79.55221",Rockingham,36.220211029052734,-79.55220794677734
