device_name,hardware_key,asset_code,alarm_code,alarm_name,description,severity,category,start_utc,end_utc,duration_min,is_resolved,resolved_by,flag,target_morning_overlap
GameChange Tracker Control,H312486,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,5,2,2025-08-29T14:58:00,,,False,,Communication,2026-02-22; 2026-02-27; 2026-03-01; 2026-03-04; 2026-03-05; 2026-03-06; 2026-03-27; 2026-03-30; 2026-03-31; 2026-04-01; 2026-04-02; 2026-04-03; 2026-04-04; 2026-04-05; 2026-04-07; 2026-04-10; 2026-04-11; 2026-04-12; 2026-04-13; 2026-04-14; 2026-04-15; 2026-04-17; 2026-04-18; 2026-04-26; 2026-04-29; 2026-05-07; 2026-05-09; 2026-05-10; 2026-05-11; 2026-05-12
Whitetail,,UNK,614,Rule Tool Alert,"Errors: , Performance (1)	 Communication: 2 test suites failed out of 5 (5 new messages)",0,4,2026-01-31T15:28:53,2026-02-01T08:45:57,1037.1,True,Unable to verify name,,
GameChange Tracker Control 2.3,H590015,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T05:17:00,2026-02-01T05:19:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.2,H590016,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T08:31:00,2026-02-01T08:41:00,10.0,True,Unable to verify name,Communication,
PowerManager 2200 (RMA16217/SO101810),H521460,GTW,253,Gateway heartbeat,This error may be the result of one of the following:	 1. Wiring problem between the gateway and the internet connection.,0,1,2026-02-01T08:33:32,2026-02-01T09:40:03,66.5,True,Unable to verify name,Communication,
Whitetail,,UNK,614,Rule Tool Alert,"Errors: , Performance (1)	 Communication: 2 test suites failed out of 5 (6 new messages)",0,4,2026-02-01T08:45:57,2026-02-02T00:34:08,948.2,True,Unable to verify name,,
PowerManager 2200 (RMA16217/SO101810),H521460,GTW,587,Site Controller Health,"Upload queue exceeded 1000 pending uploads, this should decrease and resolve after internet is reestablished",0,2,2026-02-01T09:36:30,2026-02-01T09:45:40,9.2,True,Unable to verify name,,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T10:37:00,2026-02-01T10:39:00,2.0,True,Unable to verify name,Communication,
PowerManager 2200 (RMA16217/SO101810),H521460,GTW,587,Site Controller Health,"Upload queue exceeded 1000 pending uploads, this should decrease and resolve after internet is reestablished",0,2,2026-02-01T10:38:54,2026-02-01T10:43:56,5.0,True,Unable to verify name,,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T11:11:00,2026-02-01T11:13:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T11:47:00,2026-02-01T11:49:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.3,H590015,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T12:03:00,2026-02-01T12:05:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T12:43:00,2026-02-01T12:45:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T13:31:00,2026-02-01T13:33:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T13:49:00,2026-02-01T13:51:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T15:37:00,2026-02-01T15:43:00,6.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T19:23:00,2026-02-01T19:25:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-01T23:37:00,2026-02-01T23:39:00,2.0,True,Unable to verify name,Communication,
Whitetail,,UNK,614,Rule Tool Alert,"Errors: , Performance (1)	 Communication: 2 test suites failed out of 5 (5 new messages)",0,4,2026-02-02T00:34:08,2026-02-02T17:56:46,1042.6,True,Unable to verify name,,
GameChange Tracker Control 2.3,H590015,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T00:39:00,2026-02-02T00:41:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.2,H590016,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm179: Over current limit shutdown event,0,3,2026-02-02T06:11:00,2026-02-02T06:13:00,2.0,True,Unable to verify name,,
GameChange Tracker Control 2.2,H590016,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T08:05:00,2026-02-02T08:09:00,4.0,True,Unable to verify name,Communication,
PowerManager 2200 (RMA16217/SO101810),H521460,GTW,253,Gateway heartbeat,This error may be the result of one of the following:	 1. Wiring problem between the gateway and the internet connection.,0,1,2026-02-02T08:32:08,2026-02-02T09:38:01,65.9,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T09:17:00,2026-02-02T09:19:00,2.0,True,Unable to verify name,Communication,
PowerManager 2200 (RMA16217/SO101810),H521460,GTW,587,Site Controller Health,"Upload queue exceeded 1000 pending uploads, this should decrease and resolve after internet is reestablished",0,2,2026-02-02T09:35:40,2026-02-02T09:43:45,8.1,True,Unable to verify name,,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T09:43:00,2026-02-02T09:45:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.3,H590015,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm186: No Communication,0,3,2026-02-02T12:09:00,2026-02-02T12:15:00,6.0,True,Unable to verify name,,
GameChange Tracker Control 2.3,H590015,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm186: No Communication,0,3,2026-02-02T12:17:00,2026-02-02T12:33:00,16.0,True,Unable to verify name,,
GameChange Tracker Control 2.3,H590015,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm186: No Communication,0,3,2026-02-02T12:35:00,2026-02-02T13:09:00,34.0,True,Unable to verify name,,
Whitetail,,UNK,614,Rule Tool Alert,"Errors: , Performance (1)	 Communication: 2 test suites failed out of 5 (4 new messages)",0,4,2026-02-02T17:56:46,2026-02-03T11:14:09,1037.4,True,Unable to verify name,,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T20:55:00,2026-02-02T21:01:00,6.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T23:31:00,2026-02-02T23:33:00,2.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.1,H590017,TKR,250,Device communication,This error may be the result of one of the following:	 1. Wiring problem between the device and the gateway.,0,2,2026-02-02T23:39:00,2026-02-02T23:43:00,4.0,True,Unable to verify name,Communication,
GameChange Tracker Control 2.2,H590016,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm178: No Communication,0,3,2026-02-03T03:05:00,2026-02-03T03:27:00,22.0,True,Unable to verify name,,
GameChange Tracker Control 2.2,H590016,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm178: No Communication,0,3,2026-02-03T03:29:00,2026-02-03T04:31:00,62.0,True,Unable to verify name,,
GameChange Tracker Control 2.2,H590016,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm178: No Communication,0,3,2026-02-03T04:33:00,2026-02-03T05:34:00,61.0,True,Unable to verify name,,
GameChange Tracker Control 2.2,H590016,TKR,863,Gamechange Tracker Alert,Individual Tracker Alarm178: No Communication,0,3,2026-02-03T05:35:00,2026-02-03T05:56:00,21.0,True,Unable to verify name,,
